,MPA_Code,Area,fishing_hours,fishing_hours_per_km2
135,UK0013117,1460.1052,19.82152777777777,0.01357541071545925
115,PTCON0062,22927.7848,295.7640277777779,0.01289980826136234
28,DK00FX113,94.6,1.0363888888888888,0.01095548508339206
120,ROSCI0281,135.922,1.4152777777777779,0.010412426080971277
5,BG0000573,483.4011,5.007083333333335,0.010358030491311117
49,ESZZ15002,14328.4248,134.64125000000018,0.00939679356798524
75,FR5300033,177.69830000000002,1.5486111111111112,0.00871483357528525
143,UK0030358,3603.41,30.227777777777774,0.008388659014038862
77,FR5302006,101.9759,0.7770833333333333,0.00762026452655317
64,FR5202011,307.14,2.266944444444444,0.007380818012777379
19,DE1749302,398.72,2.8681944444444447,0.007193505328161228
14,DE1540302,384.16,2.7365277777777783,0.007123406335323246
48,ES7020123,131.3909,0.877638888888889,0.006679601775228643
71,FR5300017,227.14,1.355,0.005965483842564057
31,DK00VA171,150.34,0.8705555555555555,0.005790578392680295
17,DE1652301,1101.15,6.211805555555556,0.0056411983431463066
13,DE1526391,82.38,0.4402777777777779,0.005344474117234497
145,UK0030369,1467.59,7.301944444444445,0.004975466202716321
43,EE0040500,147.27700000000002,0.6333333333333333,0.004300286761227709
11,DE1251301,233.97,0.9834722222222222,0.004203411643468061
51,ESZZ16010,122.6848,0.4998611111111111,0.0040743524145706
53,FI0200090,497.35,1.7359722222222225,0.003490443796566246
34,DK00VA254,649.22,2.1670833333333333,0.0033379799348962342
66,FR5202013,119.98,0.3918055555555555,0.003265590561389861
146,UK0030370,845.14,2.7191666666666667,0.003217415654999961
101,IT5160006,187.53,0.5266666666666667,0.002808439538562719
52,FI0100005,526.3,1.325138888888889,0.0025178394240716116
55,FR2500085,153.85,0.37888888888888883,0.0024627162098725306
123,SE0330308,10511.113000000001,23.932499999999997,0.0022768759121893174
24,DK00DX146,133.57,0.28625,0.0021430710488882236
93,GR1430004,2491.5098000000003,5.018055555555555,0.002014062138369094
89,FR9301602,500.15,0.9441666666666666,0.0018877670032323636
141,UK0030061,198.66119999999998,0.37388888888888894,0.0018820428392101174
44,ES5310005,307.5257,0.5362499999999999,0.0017437567006594894
113,NL9803061,440.52,0.7652777777777778,0.001737214604961813
96,GR2550010,1229.3024,2.0754166666666665,0.0016882881434760611
139,UK0017075,1077.18,1.7955555555555556,0.0016669039116540927
142,UK0030352,12331.15,19.037777777777773,0.0015438769115433495
91,FR9402013,1782.65,2.727777777777778,0.0015301813467465727
97,GR4340024,1636.8622,1.6416666666666666,0.0010029351686822914
109,NL2008001,4744.89,4.570416666666667,0.0009632292143056354
137,UK0013694,268.4862,0.25819444444444445,0.000961667469108075
134,UK0013116,1380.385,1.3147222222222221,0.000952431547881368
121,ROSCI0413,1868.1529999999998,1.756388888888889,0.0009401740054957432
29,DK00FX122,685.83,0.3322222222222222,0.0004844089967225437
81,FR7200677,610.8,0.2708333333333333,0.00044340755293604015
