,MPA_Code,Area,Cover,fishing_hours,fishing_hours_per_km2,fishing_hours_coverage
68,FR5202010,42.08,42.08,79.27361111111107,1.883878591043514,79.27361111111107
53,ESZZ16001,937.6608,937.6608,1650.7068055555535,1.7604519732034798,1650.7068055555535
110,ITA090028,53.67,53.67,82.42347222222219,1.5357457093762286,82.42347222222219
29,DK00VA248,13.8,13.8,20.890694444444446,1.5138184380032207,20.890694444444442
131,SE0510127,132.923,132.923,180.837638888889,1.3604691354309562,180.837638888889
21,DK00AY176,1347.6,1347.6,1675.5441666666693,1.2433542346888315,1675.5441666666693
117,NL4000017,835.34,835.34,915.8536111111093,1.096384240083211,915.8536111111093
34,DK00VA259,470.59,470.59,509.6958333333332,1.0830995842098923,509.6958333333332
8,DE1249301,86.01,86.01,91.94194444444447,1.068968078647186,91.94194444444447
58,FR2500079,828.36,828.36,877.9552777777782,1.0598716473245668,877.9552777777782
87,FR7200811,952.56,952.56,972.2243055555535,1.0206436398290435,972.2243055555535
19,DE2306301,2769.5622,2769.5622,2824.407916666686,1.0198030275928398,2824.407916666686
98,HR3000469,518.7665000000001,518.7665000000001,523.2765277777784,1.0086937529269495,523.2765277777784
85,FR5400469,4560.27,4560.27,4493.865138888888,0.9854383926585242,4493.865138888888
50,ESZZ12003,3389.6103000000003,3389.6103000000003,3318.640833333336,0.9790626472114909,3318.6408333333356
65,FR3102003,291.56,291.56,271.38944444444417,0.9308185088641932,271.38944444444417
132,SE0510186,114.1,114.1,92.79319444444445,0.8132620021423703,92.79319444444445
73,FR5300011,557.9639,557.9639,432.6093055555552,0.7753356544313265,432.6093055555552
90,FR9101414,61.72,61.72,45.40597222222222,0.7356768020450781,45.40597222222222
130,SE0510126,178.40200000000002,178.40200000000002,112.43638888888884,0.6302417511512698,112.43638888888886
104,IT5160002,148.18,148.18,89.55930555555561,0.6043953674959887,89.55930555555561
82,FR5302007,414.98940000000005,414.98940000000005,246.62291666666655,0.5942872677390472,246.62291666666655
3,BG0001001,980.9975999999999,980.9975999999999,561.9851388888889,0.5728710639953543,561.9851388888889
33,DK00VA258,108.92,108.92,60.43805555555555,0.5548848288244175,60.43805555555555
141,UK0030379,8.73,8.73,4.484583333333334,0.5136979763268423,4.484583333333334
5,DE0916391,4521.01,4521.01,2297.113194444445,0.5080973486996146,2297.113194444445
62,FR2502021,444.02,444.02,197.29027777777773,0.44432745772212456,197.29027777777773
39,DK00VA347,2462.96,2462.96,1039.940000000001,0.4222317861435025,1039.940000000001
147,UK0030396,5849.94,5849.94,2361.833888888894,0.4037364295854135,2361.833888888894
146,UK0030395,36950.54,36950.54,13570.646111111078,0.36726516340792525,13570.646111111078
45,ES6120032,236.4216,236.4216,86.23097222222219,0.364733900042222,86.23097222222219
38,DK00VA340,63.25,63.25,22.268194444444436,0.35206631532718474,22.268194444444436
143,UK0030384,74.6625,74.6625,25.841944444444447,0.346116784790818,25.841944444444447
80,FR5300049,98.59700000000001,98.59700000000001,33.79875000000002,0.34279694108340025,33.79875000000002
111,ITB030080,268.99,268.99,83.10111111111111,0.3089375482773007,83.10111111111111
76,FR5300018,771.1360000000001,771.1360000000001,234.825416666667,0.3045188094793486,234.825416666667
41,ES0000020,485.3197,485.3197,143.75069444444455,0.2961979380693686,143.75069444444455
129,SE0510050,80.08,80.08,22.66041666666667,0.28297223609723615,22.66041666666667
7,DE1209301,5314.29,5314.29,1502.8709722222218,0.2827980731616494,1502.8709722222218
84,FR5302015,62320.04,62320.04,17552.766805555482,0.2816552557661305,17552.766805555482
86,FR5402012,97.15,97.15,26.951111111111114,0.27741751015039745,26.951111111111114
72,FR5300010,912.28,912.28,245.05097222222213,0.26861377233110684,245.05097222222213
63,FR2502022,2832.0,2832.0,748.7823611111102,0.2644005512397988,748.7823611111103
26,DK00FX257,185.35,185.35,48.238611111111105,0.2602568713844678,48.238611111111105
61,FR2502020,455.66,455.66,118.19527777777772,0.25939357805771346,118.19527777777772
46,ES6200048,1540.8166,1540.8166,393.0198611111105,0.2550724473705115,393.0198611111105
37,DK00VA301,92.83,92.83,22.257361111111102,0.2397647431984391,22.257361111111106
108,ITA010024,542.81,542.81,127.60361111111112,0.23507969844164833,127.60361111111112
97,HR3000426,1084.9542999999999,1084.9542999999999,244.5076388888888,0.2253621547828225,244.50763888888883
4,BG0001501,553.4528,553.4528,118.38152777777779,0.21389633908759298,118.38152777777779
