,MPA_Code,Area,Cover,fishing_hours,fishing_hours_per_km2,fishing_hours_coverage
110,ROSCI0094,57.849,0.0,1.5279166666666666,0.026412153480037108,0.0
117,SE0430095,423.42199999999997,402.3,11.133194444444444,0.02629337739759494,10.577825727052444
32,DK00VA299,31.58,7.0,0.7897222222222222,0.025007036802476956,0.1750492576173387
116,SE0420360,1342.408,239.44099999999997,31.744166666666672,0.023647182277419885,5.662104971687694
89,GR2530007,2365.7115,101.75,53.07625000000002,0.022435639341483536,2.2828263029959497
124,UK0012712,958.5706,152.9879,18.35388888888889,0.0191471435582198,2.929281283970575
13,DE1747301,604.06,22.880701,10.48013888888889,0.017349499865723424,0.39696871892715774
31,DK00VA261,319.1,19.0,5.282638888888888,0.016554806922246593,0.31454133152268526
114,SE0220028,111.045,9.746599999999999,1.6243055555555554,0.014627453334734166,0.14256793667232
109,ROSCI0066,3362.002,0.0,46.41333333333332,0.013805266425580151,0.0
127,UK0013117,1460.1052,106.5877,19.82152777777777,0.01357541071545925,1.446971804716156
108,PTCON0062,22927.7848,214.58,295.7640277777779,0.01289980826136234,2.768040856723131
23,DK00FX113,94.6,16.0,1.0363888888888888,0.01095548508339206,0.17528776133427296
112,ROSCI0281,135.922,0.0,1.4152777777777779,0.010412426080971277,0.0
2,BG0000573,483.4011,32.0589,5.007083333333335,0.010358030491311117,0.332067063717894
44,ESZZ15002,14328.4248,15.0176,134.64125000000018,0.00939679356798524,0.14111728708657512
70,FR5300033,177.69830000000002,93.30799999999999,1.5486111111111112,0.00871483357528525,0.813163691242716
135,UK0030358,3603.41,3602.329,30.227777777777774,0.008388659014038862,30.2187096373836
72,FR5302006,101.9759,63.0,0.7770833333333333,0.00762026452655317,0.48007666517284975
59,FR5202011,307.14,221.1408,2.266944444444444,0.007380818012777379,1.6321999999999999
14,DE1749302,398.72,11.1612,2.8681944444444447,0.007193505328161228,0.08028815166867309
10,DE1540302,384.16,13.5753,2.7365277777777783,0.007123406335323246,0.09670237802391367
43,ES7020123,131.3909,25.055500000000002,0.877638888888889,0.006679601775228643,0.16736076227924127
66,FR5300017,227.14,34.071,1.355,0.005965483842564057,0.20325000000000001
26,DK00VA171,150.34,22.0,0.8705555555555555,0.005790578392680295,0.12739272463896648
12,DE1652301,1101.15,479.91,6.211805555555556,0.0056411983431463066,2.707267496859344
9,DE1526391,82.38,14.890999999999998,0.4402777777777779,0.005344474117234497,0.07958456407973889
137,UK0030369,1467.59,668.9275,7.301944444444445,0.004975466202716321,3.3282261683175216
38,EE0040500,147.27700000000002,2.0,0.6333333333333333,0.004300286761227709,0.008600573522455418
7,DE1251301,233.97,86.56,0.9834722222222222,0.004203411643468061,0.3638473118585953
46,ESZZ16010,122.6848,1.23059,0.4998611111111111,0.0040743524145706,0.005013857337846435
48,FI0200090,497.35,5.0,1.7359722222222225,0.003490443796566246,0.017452218982831228
29,DK00VA254,649.22,25.0,2.1670833333333333,0.0033379799348962342,0.08344949837240585
61,FR5202013,119.98,62.3896,0.3918055555555555,0.003265590561389861,0.20373888888888886
138,UK0030370,845.14,218.21509999999998,2.7191666666666667,0.003217415654999961,0.7020886788973819
95,IT5160006,187.53,4.0319,0.5266666666666667,0.002808439538562719,0.011323347375531027
47,FI0100005,526.3,11.0,1.325138888888889,0.0025178394240716116,0.02769623366478773
50,FR2500085,153.85,41.588100000000004,0.37888888888888883,0.0024627162098725306,0.1024196880077998
115,SE0330308,10511.113000000001,2200.0,23.932499999999997,0.0022768759121893174,5.009127006816499
19,DK00DX146,133.57,55.0,0.28625,0.0021430710488882236,0.11786890768885229
84,FR9301602,500.15,2.69,0.9441666666666666,0.0018877670032323636,0.005078093238695058
133,UK0030061,198.66119999999998,13.906300000000002,0.37388888888888894,0.0018820428392101174,0.02617225233490766
39,ES5310005,307.5257,3.0752569999999997,0.5362499999999999,0.0017437567006594894,0.005362499999999999
106,NL9803061,440.52,106.88,0.7652777777777778,0.001737214604961813,0.1856734969783186
90,GR2550010,1229.3024,6.64,2.0754166666666665,0.0016882881434760611,0.011210233272681046
131,UK0017075,1077.18,441.6438,1.7955555555555556,0.0016669039116540927,0.7361777777777778
134,UK0030352,12331.15,12331.15,19.037777777777773,0.0015438769115433495,19.037777777777773
86,FR9402013,1782.65,17.8265,2.727777777777778,0.0015301813467465727,0.027277777777777776
91,GR4340024,1636.8622,73.07,1.6416666666666666,0.0010029351686822914,0.07328447277561502
102,NL2008001,4744.89,4403.33,4.570416666666667,0.0009632292143056354,4.241416096228433
129,UK0013694,268.4862,107.39450000000001,0.25819444444444445,0.000961667469108075,0.10327779701112717
126,UK0013116,1380.385,414.11550000000005,1.3147222222222221,0.000952431547881368,0.3944166666666667
113,ROSCI0413,1868.1529999999998,1868.1529999999998,1.756388888888889,0.0009401740054957432,1.756388888888889
24,DK00FX122,685.83,370.0,0.3322222222222222,0.0004844089967225437,0.1792313287873412
76,FR7200677,610.8,6.108,0.2708333333333333,0.00044340755293604015,0.002708333333333333
37,EE0040002,2539.589,146.7,0.5290277777777777,0.0002083123599046057,0.030559423198005656
